
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:26865        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:26865        127.0.0.1:26872        ESTABLISHED
  TCP    127.0.0.1:26865        127.0.0.1:26873        ESTABLISHED
  TCP    127.0.0.1:26865        127.0.0.1:26874        ESTABLISHED
  TCP    127.0.0.1:26866        127.0.0.1:26867        ESTABLISHED
  TCP    127.0.0.1:26867        127.0.0.1:26866        ESTABLISHED
  TCP    127.0.0.1:26868        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:26868        127.0.0.1:26870        ESTABLISHED
  TCP    127.0.0.1:26870        127.0.0.1:26868        ESTABLISHED
  TCP    127.0.0.1:26871        127.0.0.1:26846        ESTABLISHED
  TCP    127.0.0.1:26872        127.0.0.1:26865        ESTABLISHED
  TCP    127.0.0.1:26873        127.0.0.1:26865        ESTABLISHED
  TCP    127.0.0.1:26874        127.0.0.1:26865        ESTABLISHED
  TCP    127.0.0.1:29637        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50262        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:50263        127.0.0.1:50264        ESTABLISHED
  TCP    127.0.0.1:50264        127.0.0.1:50263        ESTABLISHED
  TCP    127.0.0.1:52592        127.0.0.1:3864         ESTABLISHED
  TCP    172.22.16.1:139        0.0.0.0:0              LISTENING
  TCP    172.25.48.1:139        0.0.0.0:0              LISTENING
  TCP    192.168.0.197:139      0.0.0.0:0              LISTENING
  TCP    192.168.0.197:2298     52.98.228.226:443      ESTABLISHED
  TCP    192.168.0.197:2850     52.123.200.38:443      ESTABLISHED
  TCP    192.168.0.197:3857     13.107.136.10:443      ESTABLISHED
  TCP    192.168.0.197:3858     13.107.136.10:443      ESTABLISHED
  TCP    192.168.0.197:3859     13.107.136.10:443      ESTABLISHED
  TCP    192.168.0.197:3860     52.105.41.53:443       ESTABLISHED
  TCP    192.168.0.197:30024    52.112.100.70:443      ESTABLISHED
  TCP    192.168.0.197:30026    52.123.138.139:443     ESTABLISHED
  TCP    192.168.0.197:59014    52.111.209.26:443      ESTABLISHED
  TCP    192.168.0.197:59383    81.224.167.208:443     ESTABLISHED
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:623               [::]:0                 LISTENING
  TCP    [::]:2179              [::]:0                 LISTENING
  TCP    [::]:2701              [::]:0                 LISTENING
  TCP    [::]:5357              [::]:0                 LISTENING
  TCP    [::]:5985              [::]:0                 LISTENING
  TCP    [::]:8005              [::]:0                 LISTENING
  TCP    [::]:8081              [::]:0                 LISTENING
  TCP    [::]:16992             [::]:0                 LISTENING
  TCP    [::]:35729             [::]:0                 LISTENING
  TCP    [::]:47001             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:50260             [::]:0                 LISTENING
  TCP    [::]:50261             [::]:0                 LISTENING
  TCP    [::]:50286             [::]:0                 LISTENING
  TCP    [::]:52592             [::]:0                 LISTENING
  TCP    [::1]:3865             [::1]:8081             ESTABLISHED
  TCP    [::1]:8081             [::1]:3865             ESTABLISHED
  TCP    [::1]:42050            [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:53             *:*                    
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:3702           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:56502          *:*                    
  UDP    0.0.0.0:57715          *:*                    
  UDP    0.0.0.0:60120          *:*                    
  UDP    0.0.0.0:61520          *:*                    
  UDP    0.0.0.0:61522          *:*                    
  UDP    0.0.0.0:62479          *:*                    
  UDP    10.79.4.159:137        *:*                    
  UDP    10.79.4.159:138        *:*                    
  UDP    10.79.4.159:1900       *:*                    
  UDP    10.79.4.159:50826      *:*                    
  UDP    10.79.4.159:57976      *:*                    
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:49198        *:*                    
  UDP    127.0.0.1:50261        *:*                    
  UDP    127.0.0.1:51426        *:*                    
  UDP    127.0.0.1:54518        *:*                    
  UDP    127.0.0.1:57513        *:*                    
  UDP    127.0.0.1:57980        *:*                    
  UDP    127.0.0.1:59349        *:*                    
  UDP    127.0.0.1:61523        *:*                    
  UDP    172.22.16.1:137        *:*                    
  UDP    172.22.16.1:138        *:*                    
  UDP    172.22.16.1:1900       *:*                    
  UDP    172.22.16.1:50830      *:*                    
  UDP    172.22.16.1:57981      *:*                    
  UDP    172.25.48.1:67         *:*                    
  UDP    172.25.48.1:68         *:*                    
  UDP    172.25.48.1:137        *:*                    
  UDP    172.25.48.1:138        *:*                    
  UDP    172.25.48.1:1900       *:*                    
  UDP    172.25.48.1:50827      *:*                    
  UDP    172.25.48.1:57977      *:*                    
  UDP    192.168.0.197:137      *:*                    
  UDP    192.168.0.197:138      *:*                    
  UDP    192.168.0.197:1900     *:*                    
  UDP    192.168.0.197:50829    *:*                    
  UDP    192.168.0.197:57979    *:*                    
  UDP    192.168.0.197:58183    *:*                    
  UDP    192.168.56.1:137       *:*                    
  UDP    192.168.56.1:138       *:*                    
  UDP    192.168.56.1:1900      *:*                    
  UDP    192.168.56.1:50828     *:*                    
  UDP    192.168.56.1:57978     *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:56503             *:*                    
  UDP    [::]:60120             *:*                    
  UDP    [::]:61521             *:*                    
  UDP    [::]:61524             *:*                    
  UDP    [::]:62479             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:57975            *:*                    
